run,tag,step,value,time
train_bonds_angles_90,Loss/train,90,0.015754731371998787,1754315450.1264548
train_bonds_angles_90,Loss/train,91,0.015802457928657532,1754315493.0953422
train_bonds_angles_90,Loss/train,92,0.015899095684289932,1754315535.963132
train_bonds_angles_90,Loss/train,93,0.015859562903642654,1754315578.791696
train_bonds_angles_90,Loss/train,94,0.015852803364396095,1754315621.4392107
train_bonds_angles_90,Loss/train,95,0.015781104564666748,1754315675.5650682
train_bonds_angles_90,Loss/train,96,0.01578967459499836,1754315717.7566504
train_bonds_angles_90,Loss/train,97,0.01586773805320263,1754315760.070364
train_bonds_angles_90,Loss/train,98,0.015950338914990425,1754315802.4428651
train_bonds_angles_90,Loss/train,99,0.015803581103682518,1754315844.8379102
train_bonds_angles_90,Loss/train,100,0.01586371846497059,1754315898.4207885
train_bonds_angles_90,Loss/train,101,0.015839967876672745,1754315940.577442
train_bonds_angles_90,Loss/train,102,0.015829991549253464,1754315982.9469824
train_bonds_angles_90,Loss/train,103,0.015798673033714294,1754316025.275755
train_bonds_angles_90,Loss/train,104,0.015746669843792915,1754316067.5226278
train_bonds_angles_90,Loss/train,105,0.01571202091872692,1754316121.0297463
train_bonds_angles_90,Loss/train,106,0.015732798725366592,1754316164.0294368
train_bonds_angles_90,Loss/train,107,0.015688635408878326,1754316206.5461466
train_bonds_angles_90,Loss/train,108,0.015675697475671768,1754316249.0399044
train_bonds_angles_90,Loss/train,109,0.015676753595471382,1754316291.925563
train_bonds_angles_90,Loss/train,110,0.015691326931118965,1754316495.1679962
train_bonds_angles_90,Loss/train,111,0.015732426196336746,1754316547.5439634
train_bonds_angles_90,Loss/train,112,0.01571071892976761,1754316591.1831229
train_bonds_angles_90,Loss/train,113,0.01569921150803566,1754316634.6589186
train_bonds_angles_90,Loss/train,114,0.015695765614509583,1754316704.8689299
train_bonds_angles_90,Loss/train,115,0.01568857580423355,1754317475.6754737
train_bonds_angles_90,Loss/train,116,0.015689412131905556,1754317517.5669503
train_bonds_angles_90,Loss/train,117,0.015707146376371384,1754317559.6766617
train_bonds_angles_90,Loss/train,118,0.015728171914815903,1754317602.1079793
train_bonds_angles_90,Loss/train,119,0.015743045136332512,1754317644.6937082
train_bonds_angles_90,Loss/val,90,0.01617305353283882,1754315450.126505
train_bonds_angles_90,Loss/val,91,0.01636231504380703,1754315493.0953655
train_bonds_angles_90,Loss/val,92,0.016285670921206474,1754315535.9631543
train_bonds_angles_90,Loss/val,93,0.016255080699920654,1754315578.7917185
train_bonds_angles_90,Loss/val,94,0.0161946602165699,1754315621.4392333
train_bonds_angles_90,Loss/val,95,0.016261685639619827,1754315675.5650911
train_bonds_angles_90,Loss/val,96,0.01619292050600052,1754315717.7566721
train_bonds_angles_90,Loss/val,97,0.016627343371510506,1754315760.0704002
train_bonds_angles_90,Loss/val,98,0.01618003100156784,1754315802.4428873
train_bonds_angles_90,Loss/val,99,0.01617719978094101,1754315844.837933
train_bonds_angles_90,Loss/val,100,0.016310838982462883,1754315898.420811
train_bonds_angles_90,Loss/val,101,0.016161395236849785,1754315940.5774646
train_bonds_angles_90,Loss/val,102,0.01624731533229351,1754315982.94702
train_bonds_angles_90,Loss/val,103,0.01625961624085903,1754316025.2757773
train_bonds_angles_90,Loss/val,104,0.016119379550218582,1754316067.522655
train_bonds_angles_90,Loss/val,105,0.016129428520798683,1754316121.0297692
train_bonds_angles_90,Loss/val,106,0.016110355034470558,1754316164.0294619
train_bonds_angles_90,Loss/val,107,0.016081055626273155,1754316206.5461695
train_bonds_angles_90,Loss/val,108,0.01609964109957218,1754316249.0399258
train_bonds_angles_90,Loss/val,109,0.01606215536594391,1754316291.925588
train_bonds_angles_90,Loss/val,110,0.016116371378302574,1754316495.168025
train_bonds_angles_90,Loss/val,111,0.01617182418704033,1754316547.5439909
train_bonds_angles_90,Loss/val,112,0.016164980828762054,1754316591.1831498
train_bonds_angles_90,Loss/val,113,0.016113730147480965,1754316634.6589465
train_bonds_angles_90,Loss/val,114,0.01615278050303459,1754316704.8689532
train_bonds_angles_90,Loss/val,115,0.016116751357913017,1754317475.6754956
train_bonds_angles_90,Loss/val,116,0.016080409288406372,1754317517.566975
train_bonds_angles_90,Loss/val,117,0.016106603667140007,1754317559.6766844
train_bonds_angles_90,Loss/val,118,0.016200430691242218,1754317602.1080048
train_bonds_angles_90,Loss/val,119,0.016116265207529068,1754317644.69373
train_bonds_angles_90,Loss/KL_train,90,1.9820170564344153e-05,1754315450.1265163
train_bonds_angles_90,Loss/KL_train,91,3.446096889092587e-05,1754315493.0953732
train_bonds_angles_90,Loss/KL_train,92,7.470250420738012e-05,1754315535.9631617
train_bonds_angles_90,Loss/KL_train,93,9.797920029086526e-06,1754315578.7917254
